Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,staying up all night is a bad idea,staying up all night is a bad ide,234.5,6412.099999904633,6.177599999904633,36,2.941176470588235,97.05882352941177,64.10256410355369,0
2,three two one zero blast off,three two one zero blast of,6412.5,12662.899999976158,6.250399999976159,32,3.571428571428571,96.42857142857143,51.83668245252078,1
3,my car always breaks in the winter,my car always breaks in the winte,12663.199999928474,19024.699999928474,6.3615,44,2.941176470588235,97.05882352941177,62.24946946474888,4
4,if at first you do not succeed,if at first you do not succee,19025.099999904633,26436.099999904633,7.411,34,3.3333333333333335,96.66666666666667,46.957225745513426,1
5,the four seasons will come,the four seasons will com,26436.399999976158,32673.099999904633,6.236699999928474,34,3.8461538461538463,96.15384615384616,48.10236182651732,3
6,information super highway,information super highwa,32673.299999952316,39533.5,6.8602000000476835,31,4,96,41.981283344217104,2
7,dinosaurs have been extinct for ages,dinosaurs have been extinct for age,39533.699999928474,49866.89999997616,10.333200000047684,48,2.7777777777777777,97.22222222222221,40.645685750596314,5
8,medieval times were very hard,medieval times were very har,49867.199999928474,55861.59999990463,5.994399999976158,31,3.4482758620689653,96.55172413793103,56.052315494684436,0
9,he is shouting loudly,he is shouting loudl,55861.89999997616,59743.699999928474,3.8817999999523165,23,4.761904761904762,95.23809523809523,61.82698748079451,0
10,you should visit a doctor,you should visit a docto,59743.89999997616,68287.59999990463,8.543699999928474,45,4,96,33.70904877306215,9
11,double double toil and trouble,double double toil and troubl,68287.79999995232,73986.29999995232,5.6985,35,3.3333333333333335,96.66666666666667,61.06870229007634,1
12,Lydia wants to go home,Lydia wants to go hom,73986.5,79746,5.7595,29,4.545454545454546,95.45454545454545,43.75379807274937,2
13,insurance is important for bad drivers,insurance is important for bad driver,79746.19999992847,86343.5,6.597300000071526,42,2.631578947368421,97.36842105263158,67.30025919621457,1
14,our fax number has changed,our fax number has change,86343.69999992847,91391.79999995232,5.048100000023842,28,3.8461538461538463,96.15384615384616,59.428299756063296,0
15,I agree with you,I agree with yo,91392,95989.59999990463,4.597599999904633,19,6.25,93.75,39.15086131976112,0
