Trial #,Prompt,User Input,Start Time,End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,my bank account is overdrawn,mypbank account is overdrawn,8000.0,26261.5,18.2615,29,3.57,96.43,25.9,3
2,three two one zero blast off,three two onekzero blast off,26761.5,45272.7,18.5112,30,3.57,96.43,26.81,1
3,please provide your date of birth,please provide your date of uirth,45772.7,64259.0,18.4863,35,3.03,96.97,25.17,1
4,watch out for low flying objects,watch out for low flying objects,64759.0,82916.2,18.1572,34,0.0,100.0,25.74,1
5,elections bring out the best,elections bring out the best,83416.2,102200.2,18.784,30,0.0,100.0,26.14,2
6,breathing is difficult,breathing is difficult,102700.2,121070.4,18.3702,23,0.0,100.0,26.61,2
7,my watch fell in the water,my watch fell in the water,121570.4,139521.6,17.9512,27,0.0,100.0,27.0,2
8,I can see the rings on Saturn,I can jee the rings on Saturn,140021.6,158820.9,18.7993,30,3.45,96.55,25.2,4
9,time to go shopping,time to go shopping,159320.9,177629.7,18.3088,20,0.0,100.0,26.28,1
10,my favorite subject is psychology,my favorite subject is psychology,178129.7,196933.0,18.8033,34,0.0,100.0,26.59,2
11,prevailing wind from the east,prevailing wind from the east,197433.0,216255.5,18.8225,30,0.0,100.0,26.42,3
12,if at first you do not succeed,if at fjrst you do not succeed,216755.5,235106.8,18.3513,30,3.33,96.67,25.68,1
13,we are having spaghetti,we are having spaghetti,235606.8,254253.2,18.6464,24,0.0,100.0,26.88,4
14,physics and chemistry are hard,physics and chemistry are hard,254753.2,273975.1,19.2219,32,0.0,100.0,25.76,2
15,never too rich and never too thin,never too rich and never too thin,274475.1,292994.9,18.5198,34,0.0,100.0,25.04,2
