Trial #,Prompt,User Input,Start Time,End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,we are having spaghetti,we aie having spaghetti,4000.0,21549.0,17.549,24,4.35,95.65,15.73,1
2,my bank account is overdrawn,my bank account is overdrawn,22049.0,39201.0,17.152,30,0.0,100.0,19.59,4
3,breathing is difficult,breathing is difficklt,39701.0,55974.9,16.2739,24,4.55,95.45,16.22,2
4,I can see the rings on Saturn,Ilcan see the rings on Saturn,56474.9,76658.7,20.1838,30,3.45,96.55,17.24,5
5,physics and chemistry are hard,physics and mhemisery are hcrd,77158.7,94306.8,17.1481,33,10.0,90.0,20.99,0
6,watch out for low flying objects,watch out for low flying objects,94806.8,108438.3,13.6315,34,0.0,100.0,28.17,3
7,never too rich and never too thin,never too rich and never too thii,108938.3,120404.7,11.4664,36,3.03,96.97,34.54,3
8,prevailing wind from the east,prevailing wind from the east,120904.7,143656.1,22.7514,31,0.0,100.0,15.3,4
9,circumstances are unacceptable,circumstances are unacceptabre,144156.1,158210.3,14.0542,30,3.33,96.67,25.62,2
10,my favorite subject is psychology,my favojitevsubjeat is psychology,158710.3,178082.5,19.3722,35,9.09,90.91,20.44,0
11,my watch fell in the water,my watch fell in the water,178582.5,197809.3,19.2268,27,0.0,100.0,16.23,0
12,elections bring out the best,elections bring out tce best,198309.3,215939.8,17.6305,30,3.57,96.43,19.06,0
13,three two one zero blast off,three two onm zero blast off,216439.8,236713.5,20.2737,32,3.57,96.43,16.57,0
14,please provide your date of birth,plevse provide yfurfdate of birth,237213.5,255890.5,18.677,35,9.09,90.91,21.2,3
15,elephants are afraid of mice,elephants are afraid of mice,256390.5,276771.4,20.3809,32,0.0,100.0,16.49,2
