Trial #,Prompt,User Input,Start Time,End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,never too rich and never too thin,never too rich and never too thin,8000.0,26858.7,18.8587,36,0.0,100.0,21.0,1
2,circumstances are unacceptable,circumstances are unacceptable,27358.7,45598.4,18.2397,34,0.0,100.0,19.74,1
3,we are having spaghetti,we are haviny spaghetti,46098.4,63276.4,17.178,23,4.35,95.65,16.07,5
4,I can see the rings on Saturn,I can see thk rings on Saturn,63776.4,83876.8,20.1004,30,3.45,96.55,17.31,1
5,my watch fell in the water,my watch fell in the gater,84376.8,102463.9,18.0871,26,3.85,96.15,17.25,5
6,watch out for low flying objects,watnh out for low flying objects,102963.9,117718.7,14.7548,35,3.12,96.88,26.03,2
7,my favorite subject is psychology,my favorite subject is psychology,118218.7,131800.5,13.5818,33,0.0,100.0,29.16,1
8,prevailing wind from the east,prevailing wind from the east,132300.5,152668.2,20.3677,30,0.0,100.0,17.09,3
9,physics and chemistry are hard,physics and chemistry are hard,153168.2,170345.7,17.1775,34,0.0,100.0,20.96,3
10,please provide your date of birth,please provire your date of birth,170845.7,189665.5,18.8198,36,3.03,96.97,21.04,2
11,my bank account is overdrawn,my bank account is overerawn,190165.5,207578.1,17.4126,31,3.57,96.43,19.3,2
12,time to go shopping,timeyto go sgopping,208078.1,224446.7,16.3686,19,10.53,89.47,13.93,1
13,elephants are afraid of mice,elephants are afraid of mize,224946.7,245823.5,20.8768,28,3.57,96.43,16.09,4
14,breathing is difficult,breathpng is difficult,246323.5,265458.1,19.1346,24,4.55,95.45,13.8,4
15,a problem with the engine,a problem with the engine,265958.1,287085.6,21.1275,27,0.0,100.0,14.2,5
