Trial #,Prompt,User Input,Start Time,End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,time to go shopping,time to go  wopping,5000.0,22846.0,17.846,19,10.53,89.47,12.78,2
2,elections bring out the best,elections bring out the best,23346.0,41094.8,17.7488,32,0.0,100.0,18.93,1
3,never too rich and never too thin,never tlo rich and never too thin,41594.8,57935.5,16.3407,37,3.03,96.97,24.23,5
4,watch out for low flying objects,watch out for low flying objects,58435.5,78517.0,20.0815,33,0.0,100.0,19.12,1
5,breathing is difficult,breatzxng is difficult,79017.0,96138.1,17.1211,25,9.09,90.91,15.42,4
6,prevailing wind from the east,prevailing wind from the east,96638.1,112695.6,16.0575,31,0.0,100.0,21.67,5
7,my favorite subject is psychology,my favorite subject is psycfology,113195.6,126623.4,13.4278,36,3.03,96.97,29.49,3
8,we are having spaghetti,we arw having spaghetti,127123.4,147593.5,20.4701,26,4.35,95.65,13.48,3
9,I can see the rings on Saturn,I can see the rings on Sawurn,148093.5,168326.3,20.2328,31,3.45,96.55,17.2,2
10,circumstances are unacceptable,circumstances are unaccept ble,168826.3,185382.8,16.5565,34,3.33,96.67,21.74,4
11,a problem with the engine,a problem with the engine,185882.8,204197.1,18.3143,28,0.0,100.0,16.38,5
12,if at first you do not succeed,if at first you oo not succeed,204697.1,220300.2,15.6031,31,3.33,96.67,23.07,5
13,please provide your date of birth,please provide your date of birth,220800.2,242206.5,21.4063,35,0.0,100.0,18.5,0
14,my bank account is overdrawn,my bank account is overdrawn,242706.5,261319.4,18.6129,32,0.0,100.0,18.05,4
15,three two one zero blast off,thyee two one zero blast off,261819.4,283053.4,21.234,32,3.57,96.43,15.82,5
